rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/value_loss,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/loss,train/learning_rate,train/n_updates,train/std,train/clip_range,eval/mean_ep_length,eval/mean_reward
1000.0,100,94,1000.0,204800,2172,8.910276676488138e-08,-5.960273742675781,0.013922151,0.003974519472103566,0.46476268246769903,0.111865234375,0.015648115426301956,0.0003,990,0.15061600506305695,0.2,,
1000.0,101,95,1000.0,206848,2175,2.9369689968916646e-07,-9.779657363891602,0.009681005,0.002525517328467686,0.49433503970503806,0.084521484375,-0.00958129484206438,0.0003,1000,0.1455923318862915,0.2,,
1000.0,102,95,1000.0,208896,2178,2.483055709490145e-07,-11.826428413391113,0.0073306435,0.004238326492486522,0.5195744559168816,0.09599609375,0.006602196488529444,0.0003,1010,0.14264369010925293,0.2,,
,,,,210000,,7.177342901059092e-05,-11.146958351135254,0.03153749,0.005982747752204887,0.5401235058903694,0.136572265625,-0.011378384195268154,0.0003,1020,0.13954319059848785,0.2,1000.0,1000.0
1000.0,103,97,1000.0,210944,2164,,,,,,,,,,,,,
1000.0,104,98,1000.0,212992,2167,1.9938262880714318e-07,-10.551554679870605,0.01038826,0.0032921475656621626,0.5546872097998857,0.121533203125,0.022341309115290642,0.0003,1030,0.138120636343956,0.2,,
1000.0,105,99,1000.0,215040,2168,1.8283973588495427e-07,-10.710441589355469,0.009651892,-1.4154007658362389e-05,0.5696346305310727,0.136669921875,0.025517547503113747,0.0003,1040,0.13551831245422363,0.2,,
1000.0,106,99,1000.0,217088,2172,2.249356555239501e-07,-8.981645584106445,0.007542036,0.00039009589090710506,0.5812257960438728,0.1568359375,-0.01230170764029026,0.0003,1050,0.13555054366588593,0.2,,
1000.0,107,100,1000.0,219136,2175,0.0004671706125691344,-12.719572067260742,0.0059739314,0.0013530206255381928,0.5912765499204398,0.1259765625,0.002472213003784418,0.0003,1060,0.1324622631072998,0.2,,
,,,,220000,,1.5053280719712347e-07,-11.150696754455566,0.0036225985,0.0035143733985023573,0.6109748102724553,0.124951171875,-0.0015907263150438666,0.0003,1070,0.13024760782718658,0.2,1000.0,1000.0
1000.0,108,102,1000.0,221184,2163,,,,,,,,,,,,,
1000.0,109,103,1000.0,223232,2166,7.598427487209847e-08,-8.410211563110352,0.010624998,0.00193166504468536,0.6287394732236862,0.123291015625,0.010074660181999207,0.0003,1080,0.12836317718029022,0.2,,
1000.0,110,103,1000.0,225280,2169,9.013623980536067e-08,-8.106846809387207,0.01053202,0.0018224944185931235,0.6483897663652897,0.12412109375,0.01705818995833397,0.0003,1090,0.12485869973897934,0.2,,
1000.0,111,104,1000.0,227328,2172,7.510049044867629e-08,-8.095876693725586,0.0060672443,0.0038199774906388486,0.6758633986115455,0.13701171875,0.009616013616323471,0.0003,1100,0.12159907817840576,0.2,,
1000.0,112,105,1000.0,229376,2175,2.5075372604987934e-07,-11.329495429992676,0.0092164595,0.0034100657154340296,0.6975845001637936,0.120703125,0.012840463779866695,0.0003,1110,0.11916821449995041,0.2,,
,,,,230000,,1.488729589311788e-05,-9.05652141571045,0.009995418,-1.0136423225048929e-05,0.7128377251327038,0.1453125,-0.010502154938876629,0.0003,1120,0.11835600435733795,0.2,1000.0,1000.0
1000.0,113,106,1000.0,231424,2163,,,,,,,,,,,,,
1000.0,114,107,1000.0,233472,2165,1.1217845218425282e-05,-11.077964782714844,0.017804174,0.008471947567886672,0.7268563695251942,0.1568359375,-0.006915058940649033,0.0003,1130,0.11638232320547104,0.2,,
1000.0,115,108,1000.0,235520,2168,2.443744210722798e-06,-9.97826099395752,0.0109974,0.0054332090221578255,0.7398427620530128,0.114013671875,-0.013051698915660381,0.0003,1140,0.1147540956735611,0.2,,
1000.0,116,109,1000.0,237568,2170,2.3969624533037858e-05,-6.283623218536377,0.004668551,0.003195636736927554,0.758390236645937,0.116162109375,-0.008679494261741638,0.0003,1150,0.1121666431427002,0.2,,
1000.0,117,110,1000.0,239616,2173,2.3504134389895625e-07,-11.012423515319824,0.009193018,0.004204950008715969,0.7831207126379013,0.14384765625,-0.00984901562333107,0.0003,1160,0.10928022861480713,0.2,,
,,,,240000,,8.854400261384398e-05,-9.524003028869629,0.016254148,0.004541411230457015,0.8065087698400021,0.18984375,-0.01027490384876728,0.0003,1170,0.10667647421360016,0.2,1000.0,1000.0
1000.0,118,111,1000.0,241664,2162,,,,,,,,,,,,,
